1000000000Ç‹Ç≈ÇÃÉfÅ[É^
(8, 1)
(20, 25)
(30, 25)
(88, 209)
(494, 209)
(494, 1729)
(744, 1984)
(2450, 2500)
(2550, 2500)
(5288, 1984)
(6048, 1729)
(3008, 14336)
(4938, 17284)
(60494, 17284)
(68320, 14336)
(20408, 122449)
(21948, 126201)
(33058, 148761)
(35010, 152100)
(43470, 165025)
(101558, 217124)
(108878, 221089)
(123448, 227904)
(127194, 229449)
(152344, 237969)
(213018, 248521)
(217930, 248900)
(249500, 250000)
(250500, 250000)
(284270, 248900)
(289940, 248521)
(371718, 237969)
(413908, 229449)
(420744, 227904)
(448944, 221089)
(464194, 217124)
(626480, 165025)
(660790, 152100)
(669420, 148761)
(725650, 126201)
(734694, 122449)
(1975308, 2469136)
(2428460, 2499481)
(2572578, 2499481)
(3086420, 2469136)
(1860868, 11780496)
(2752468, 13838096)
(3714494, 15558529)
(3909744, 15863329)
(6126850, 18625625)
(6376900, 18875625)
(9538328, 21345856)
(13223140, 23140496)
(15119568, 23764321)
(19681060, 24682281)
(19825244, 24700304)
(24995000, 25000000)
(25005000, 25000000)
(30774148, 24700304)
(30954378, 24682281)
(37351790, 23764321)
(40495868, 23140496)
(47769960, 21345856)
(55871850, 18875625)
(56621900, 18625625)
(64363598, 15863329)
(65168448, 15558529)
(69571340, 13838096)
(74578140, 11780496)
(55022100, 179545801)
(110888778, 222110889)
(186997808, 245434624)
(322132944, 245434624)
(444889444, 222110889)
(585886298, 179545801)
